intent,text
objective,should I buy two pieces of apple
objective,do we have any need for meat
objective,is milk on the list
objective,is there any frozen products on the shoppinglist
objective,are we in need of cereals
objective,shall I get some potato
objective,is it necessary to purchase bread
objective,are we having toilet paper today
objective,is cooking oil necessary
objective,is coffee on the list
objective,do we need pork
objective,is corn needed
objective,what about beef
objective,should I buy onions
objective,did we put flour on the list
objective,do I need to purchase butter
objective,shall I get detergent
objective,do I need carrots
objective,do we need to purchase some porridge
objective,please let me know if I should get some stock
objective,do I need three tomatoes
objective,are oranges needed
objective,can you let me know if we need a cheese
objective,is ice cream necessary
objective,should we buy parsley
subjective,I want to buy some golden apples
subjective,I am buying some candy now
subjective,I desire some falafel
subjective,please let me buy some potato chips
subjective,I want sweets
subjective,I need beer
subjective,is it ok for me to purchase some plums
subjective,do you allow me to get toilet paper
subjective,are you okay with tomatoes
subjective,I would love some chocolate
subjective,salmon would be really nice
subjective,I crave garlic
subjective,I want to buy horse meat
subjective,lets have clams
subjective,I want something sweet
subjective,I wanna have berries
subjective,these strawberries look great
subjective,we need chicken
subjective,can we have a piece of sausage
subjective,lets buy sugar
subjective,I need seafood
subjective,I need to get some of palm sugar
subjective,is it okay to buy noodles
subjective,I think ginger would be nice
subjective,I would like to buy lemongrass
